title;abstract
Unified route representation learning for multi-modal transportation recommendation with spatiotemporal pre-training;Multi-modal transportation recommendation aims to provide the most appropriate travel route with various transportation modes according to certain criteria. After analyzing large-scale navigation data, we find that route representations exhibit two patterns: spatio-temporal autocorrelations within transportation networks and the semantic coherence of route sequences. However, there are few studies that consider both patterns when developing multi-modal transportation systems. To this end, in this paper, we study multi-modal transportation recommendation with unified route representation learning by exploiting both spatio-temporal dependencies in transportation networks and the semantic coherence of historical routes. Specifically, we first transform the multi-modal transportation network into time-dependent multi-view transportation graphs and devise a graph-based contextual encoder to impute the missing traffic condition in transportation networks by leveraging various contextual factors. Then, we propose a hierarchical multi-task route representation learning (HMTRL) framework for recommendations, including (1) a spatiotemporal graph neural network module to capture the spatial and temporal autocorrelation, (2) a coherent-aware attentive route representation learning module to explicitly model route coherence from historical routes, and (3) a hierarchical multi-task learning module to differentiate route representations for different transport modes by incorporating multiple auxiliary tasks equipped in different network layers. Moreover, to improve the model generalization capability, we further propose spatiotemporal pre-training strategies to exploit rich self-supervision signals hidden in transportation networks and historical trajectories. Finally, extensive experimental results on two large-scale real-world datasets demonstrate the effectiveness of the proposed system against eight baselines. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.
Research on collaborative recommendation of dynamic medical services based on cloud platforms in the industrial interconnection environment;With the rise of industrial interconnections, deep cross-border integration between different medical industries has begun. In the context of industrial convergence, the users’ medical business needs also show a trend of diversification and personalization. The phenomenon of multi-service resource crossing and multi-organization information barriers in the traditional medical supply chain lead to a lag in the medical resource recommendation time, which makes medical enterprises face the problem of reducing the efficiency of information resource flow in industrial interconnection businesses. This study thus constructed a collaborative recommendation model of medical services based on a cloud platform by mining the characteristics of dynamic medical service resources and user demand, and used a singular value decomposition algorithm based on time context to solve the model so as to achieve reasonable recommendation of dynamic multi-service resources in the medical supply chain. The results showed that the proposed collaborative recommendation model of dynamic medical business resources based on the cloud platform can effectively achieve medical business recommendations and provide ideas for reducing the operating costs of medical enterprise alliances under the condition of industrial interconnection and improving the efficiency of industrial resource interconnection. © 2021 Elsevier Inc.
Design a novel approach for electronic product;E-Commerce websites are the major emerging trends in the current scenario, which facilitates online product selection, purchase and sales. Nowadays E-commerce websites have better popularity and advent nature, so numerous count of users wish to share their opinions about their experience in the form of making reviews, ratings and blogs. Each of the first four of these goals can be realized through recommender systems: ¨ ``Customize services around standardized products and services'': Recommender systems provide a customized service that enables E-commerce sites to sell their largely commodity products more efficiently. ¨ ``Create customizable products and ser vices'': Recommender systems are a customizable product of the E-commerce site. ¨ ``Provide point of delivery customization'': The recommender system directly customizes the point of delivery for the E-commerce site. ¨ ``Provide quick response throughout the value chain'': We predict that recommender systems will be used in the future to predict demand for products, enabling earlier communication back the supply chain. © IJSTR 2019.
Context-Aware Interactive Knowledge-Based Recommendation;Recommender systems have widely been used in the past few years as a recipe to success in e-commerce. Already, 35 percent of what consumers purchase on Amazon and 75 percent of what they watch on Netflix come from product recommendation (MacKenzie et al. in How retailers can keep up with consumers. Technical report. McKinsey & Company, London, 2013). However, in the context of high-end products such as cars, computers, apartments, or financial services, traditional approaches are not the best choice since it is infeasible to collect enough customer behavioral information or feedback over numerous items (Burke et al. in Ai Mag 32:13–8, 2011). Accordingly, since brick and mortar outlets remain the channel of choice for those kinds of products, recommender systems need to adjust to a context in which inventory and customer information are limited. To achieve this goal, we propose a context-aware interactive knowledge-based recommendation to make recommendation to customers who walk into a store, even when no previous information about the customers is available. This technique works in 3 stages: stage 1, contextual pre-filtering, stage 2, interactive exploration and stage 3, constraint-based recommendation. The methodology was developed with an industrial partner in the domain of sport vehicles and is illustrated step by step with an example inspired from this partnership. The proposed method enables an iterative exploration of the products in-store, creates a learning base to learn customers’ interests and recommends a suitable product with regards to logistics, contracts and product’s availability in the network. The method has been tested on our industrial partners’ data and validated by domain experts. This work is a step toward the creation of a continuously evolving learning base of customers’ interests that can be used to adjust sale’s strategy and to develop new products, designs and features that better meet the ever-changing demand of customers. © 2022, The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd.
ANALYSIS OF E-COMMERCE USABILITY AND SECURITY FACTOR BASED ON MULTIMODAL BUSINESS DIMENSION IN PHARMACEUTICAL SUPPLY CHAIN AND CBIR BASED TEXTILE RECOMMENDATION SYSTEM;"The usability testing is a complex procedure with many components for those wishing to improve their websites' usability to the fullest. There is no rocket science involved; all you need to know is some basic assumptions. The most obvious one is that if you want your website to be fantastic, you must test. The key usability issues that are pertinent to e-commerce websites are linked to the trouble spots during the purchasing process. Consequently, the following inquiries are covered by the exam objectives: Is it simple for customers to locate the items they need? Do they have access to enough information to make a well-informed purchasing decision? What challenges arise? A carefully defined aim would have a quantifiable outcome to be attained (such as work completion rate, duration, accuracy, etc.), a particular. In this hypothetical article, a theory that hasn't been confirmed is presented, and usability testing and security testing are briefly contrasted. Despite the absurdity of making comparisons between these occupations, the result is surprising. Testing may not be as different between usability and security as it first seems. More research on usability testing may yield fresh security testing ideas. © 2022 Wolters Kluwer Medknow Publications. All rights reserved."
"Automated digital cause-and-effect diagrams to assist causal analysis in
problem-solving: a data-driven approach";"Causal analysis is an integral part of product quality problem-solving
(QPS). Quality management within the manufacturing industry has
generated a considerable amount of QPS data; while this implies a
historical and extensive body of QPS experience, these valuable
empirical data are not being fully utilised. Therefore, the current
study proposes a method by which to mine know-why from historical
empirical data, and it develops an approach for constructing digital
cause-and-effect diagrams (CEDs). The K-means algorithm is first adopted
to cluster the problems and causes. The random forest classifier is then
selected to classify cause text into the main cause categories, which
manifest as `rib branches' in the CED. Based on the clustering and
classification results, we obtain an abstract cause-and-effect diagram
(ACED) and a detailed cause-and-effect diagram (DCED). We use the
quality data of an automotive company to validate the method, and we
additionally undertake a pilot run of the Fishbone Next system to
demonstrate how users can obtain these two CEDs to support causal
analysis in QPS. The results show that the proposed approach efficiently
constructs a digital CED and thus provides quality management
problem-solvers with decision support to derive the potential causes of
problems, thereby improving the efficiency and effectiveness of their
causal analysis initiatives."
"Traffic channeling under uncertain conversion rates on e-commerce
platforms";"Traffic is the lifeblood of every e-commerce platform. The question of
how to channel traffic to merchants operating on a platform lies at the
heart of platform management. We consider a platform on which two
independent merchants sell their products. Merchants compete on
inventory in the sense that some of the unmet demand at one merchant
will spill over to the other. The platform channels traffic based on
products' conversion rates to maximize the total sale on the platform.
We show that traffic channeling plays three roles. First, it allows more
efficient allocation of traffic; that is, the merchant with a high
conversion rate is given a higher priority in receiving traffic. Second,
it allows the platform to control demand spillover between the merchants
to maximize total sales. The platform either facilitates or prevents
demand spillover, depending on product substitutability. Third, traffic
channeling intensifies competition between the merchants and hence
increases the total inventory. More efficient allocation of traffic and
the increase in inventory increase sales inequality between the
merchants. In contrast, demand spillover decreases sales inequality.
While the platform always benefits from traffic channeling, the
merchants do not benefit when their products are moderately
substitutable. Interestingly, when the two products are owned and sold
by the same merchant, the opposite happens-traffic channeling always
benefits the merchant but may hurt the platform. Our study provides a
basis for informed discussions on how platforms should channel traffic
in response to conversion rates, and how traffic channeling affects the
welfare of merchants and platforms."
"Safemedchain - drug counterfeit prevention and recommendation using
blockchain and machine learning";"Counterfeit drugs are without a doubt becoming a greater hazard to
consumers and the pharmaceutical sector. As a result, real-time
visibility of drug manufacturing and management is required. The
proposed system uses Ethereum blockchain as the main technology. The
primary advantage of blockchain technology is that the transactions are
maintained in immutable digital ledger format and it may be read easily
without jeopardizing the users security and privacy. In our proposed
system, the admin validates and adds the manufacturers. The manufacturer
after registering and logging in can perform tasks like adding the drug
and seller list. The seller can place order to the manufacturer which
the manufacturer can accept or reject. The seller can update status of
order of accepted orders to delivered. The customer can view the order
details by entering the serial number on the drug package. Any
transaction or exchange that occurs in the network is recorded in the
chain. It functions similarly to other networks, but blockchain
technology is distinguished by the fact that no data can be removed or
altered by anyone in the network. No changes to the network can be made
unless it has been validated by all of the networks authorized users.
All the information stored can be read by anybody so to incorporate more
security, AES has been used to store data in the blockchain. The use of
AES encryption technique distinguishes this system from all the existing
implementations. Thus, this makes it easy to trace to the exact point in
the supply chain and detect any counterfeit drugs in movement. As an
extension to the drug counterfeit prevention system a Drug
Recommendation System is also performed using the ensemble model with a
combination of Random Forest and Logistic Regression for sentiment
analysis training. Furthermore, when compared to the existing Linear SVM
model, which has an accuracy of 90.39\%, the suggested model has the
best accuracy of 93.31\%. Using the obtained sentiment for each drug,
the drug is predicted accurately for the specified medical condition."
"Sentiment analysis of public services for smart society: Literature
review and future research directions";"Businesses use sentiment analysis for market insights to improve
performance. Sentiment analysis application in building a smart society
is immense, and there is a need to delineate the trend holistically. The
present study addresses the research gap by a comprehensive bibliometric
review of 353 research articles published between 2010 and 2021 to
discern the performance, content, and thematic analysis. Finding points
at the use of sentiment analysis for innovation, transparency, citizen
participation, and improved efficiency in public services. The content
analysis points to the applicability of sentiment analysis for citizens'
engagement to solve social problems like traffic congestion, crime
prediction, disaster management, etc. According to the strategic map,
information retrieval and supervised learning are the motor themes;
sentiment analysis and ubiquitous computing are the basic themes, while
semantics and recommender systems are the niche themes. Thematic
analysis of intellectual structure indicates sentiment analysis
applications for smart governance, smart mobility, smart infrastructure,
and smart living as the building blocks for smart societies. Based on a
comprehensive review, future research directions and managerial
implications are provided."
"An integrated recommender system for improved accuracy and aggregate
diversity";"Information explosion creates dilemma in finding preferred products from
the digital marketplaces. Thus, it is challenging for online companies
to develop an efficient recommender system for large portfolio of
products. The aim of this research is to develop an integrated
recommender system model for online companies, with the ability of
providing personalized services to their customers. The K-nearest
neighbors (KNN) algorithm uses similarity matrices for performing the
recommendation system; however, multiple drawbacks associated with the
conventional KNN algorithm have been identified. Thus, an algorithm
considering weight metric is used to select only significant nearest
neighbors (SNN). Using secondary dataset on MovieLens and combining four
types of prediction models, the study develops an integrated recommender
system model to identify SNN and predict accurate personalized
recommendations at lower computation cost. A timestamp used in the
integrated model improves the performance of the personalized
recommender system. The research contributes to behavioral analytics and
recommender system literature by providing an integrated decision-making
model for improved accuracy and aggregate diversity. The proposed
prediction model helps to improve the profitability of online companies
by selling diverse and preferred portfolio of products to their
customers."
"Prediction Method of Short-Term Demand for e-Commerce Goods Based on
Deep Neural Network";"In order to improve the short-term demand prediction effect of
e-commerce commodities, this paper combines the deep neural network
algorithm to predict the short-term demand of e-commerce commodities and
proposes a nonparametric supply chain demand prediction model based on
multilayer Bayesian network. Moreover, this paper uses the hidden layer
factor to describe the internal relationship of customer demand in time
series and uses the bottom layer factor to represent the actual customer
demand. In addition, this paper directly takes side information into
consideration to improve the accuracy of customer demand prediction.
Through simulation experiments, it can be seen that the prediction
method of short-term demand for e-commerce goods based on deep neural
network is close to the actual demand, and it can play a certain role in
the demand prediction of e-commerce goods."
"Implementation of Digitalized Technologies for Fashion Industry 4.0:
Opportunities and Challenges";"The Sustainable Development Goals of the United Nations prioritize
sustainability by 2030. The fashion industry is one most substantial
manufacturing industries that generate an economy of 3 trillion dollars
and contributes to 2\% of the world's gross domestic product. In
addition to this, the fashion industry must focus on social and
environmental concerns, where it should create fashionable products to
promote sustainable consumption and production. Sustainable consumption
and production can be achieved with the establishment of resilient
infrastructure with innovation. The resilient infrastructure with
innovation is realized by the integration of digital technologies such
as the Internet of Things (IoT), artificial intelligence (AI),
blockchain, augmented reality (AR), and virtual reality (VR). With this
motivation, this study explored the different studies that implemented
these technologies in the fashion industry for smart cloth (health),
supply chain, circular economy, dress recommendation system, fashion
trend forecasting, health prediction, and virtual and augmented based
shopping experience. Along with the progress of these technologies in
the fashion industry, the study also discussed limitations and provided
recommendations such as wide adoption of blockchain in fashion supply
chain; advancement in energy storage for smart cloth; integration of
IoT, AI, and edge computing; and smart clothing-based framework for
rescue operation for future enhancement."
"Generating decision support for alarm processing in cold supply chains
using a hybrid k-NN algorithm";"Real-time temperature monitoring is necessary in cold pharmaceutical
supply chains (SCs), where exposures to extreme temperatures can lead to
product quality deterioration. Temperature alarms (TAs) triggered by the
current rule-based systems still require lengthy examinations before a
suitable corrective measure (CM) can be chosen. However, provision of
additional information relevant to TAs can expedite the examination
process. In the related areas of recommender systems and false
alarm/anomaly detection, k-nearest neighbors (k-NN) algorithm has proven
to be successful because of its interpretability and ease of use.
However, in the context of TA processing, it may suffer from some
inherent limitations (i.e., varying neighborhood radius, unreliable
classifications in sparse and noisy regions, and blindness to natural
class boundaries). To overcome these limitations, we propose a hybrid
k-NN (Hk-NN) algorithm based on the principles of local similarity and
neighborhood homogeneity. It incorporates a two-step voting procedure
with an entropy-optimized k-NN radius, decision trees with k-constrained
leaves, and nearest neighbor predictions. We investigate 16,525 comments
by alarm personnel for TAs in a pharmaceutical SC and encode them in
terms of deviation causes and CMs (target features). We use SC data on
cargo location, SC phase, sensor role, and temperature characteristics
as predictor features for TA similarity estimation. In eight
experimental setups, HkNN consistently outperforms k-NN with an
optimized k in terms of accuracy, balanced accuracy, macro-average
precision, recall, and specificity. At the same time, Hk-NN refrains
from predicting observations, for which kNN's accuracy is close to a
random guess."
"Analysis of Precision Service of Agricultural Product e-Commerce Based
on Multimodal Collaborative Filtering Algorithm";"The times are advancing, the Internet is constantly advancing, and there
are many examples of the combination of technology and life. The way
people buy agricultural products is no longer limited to the physical
market, but is being transformed into an agricultural product e-commerce
website to achieve digital transformation. So far, a large number of
agricultural products have been collected on the agricultural product
e-commerce website, they come from all over the country, and different
types and different regional agricultural products have appeared. On the
other hand, users are faced with a large number of commodities on the
Internet. If they simply use search engines, consumers need to spend a
lot of time to find the commodities they are interested in by browsing.
Searching from the recommended ones greatly reduces the product set and
optimizes the performance of the e-commerce platform. Therefore, the
generation of the personalized recommendation system meets the needs of
the market. This research will improve the related recommendation
algorithm by improving the user similarity calculation method based on
artificial intelligence technology, improve the execution efficiency and
accuracy of the improved algorithm, and use related technologies to
develop an agricultural product e-commerce recommendation system. It has
important theoretical and practical significance to save users' browsing
time, improve users' shopping experience, and speed up the construction
of agricultural product e-commerce."
"Improving Sales Forecasting Accuracy: A Tensor Factorization Approach
with Demand Awareness";"Because of the accessibility of big data collections from consumers,
products, and stores, advanced sales forecasting capabilities have drawn
great attention from many businesses, especially those in retail,
because of the importance of forecasting in decision making. Improvement
of forecasting accuracy, even by a small percentage, may have a
substantial impact on companies' production and financial planning,
marketing strategies, inventory controls, and supply chain management.
Specifically, our research goal is to forecast the sales of each product
in each store in the near future. Motivated by tensor factorization
methodologies for context-aware recommender systems, we propose a novel
approach called the advanced temporal latent factor approach to sales
forecasting, or ATLAS for short, which achieves accurate and
individualized predictions for sales by building a single tensor
factorization model across multiple stores and products. Our
contribution is a combination of a tensor framework (to leverage
information across stores and products), a new regularization function
(to incorporate demand dynamics), and extrapolation of the tensor into
future time periods using state-of-the-art statistical (seasonal
autoregressive integrated moving-average models) and machine-learning
(recurrent neural networks) models. The advantages of ATLAS are
demonstrated on eight product category data sets collected by
Information Resources, Inc., where we analyze a total of 165 million
weekly sales transactions of over 15,560 products from more than 1,500
grocery stores."
Getting value from artificial intelligence in agriculture;"Artificial intelligence (AI) is beginning to live up to its promise of
delivering real value, driven by recent advances in the availability of
relevant data, computation and algorithms. In the present paper, I
discuss the value to agriculture from AI over the next decade. The more
immediate applications will be to improve precision information about
what is happening on the farm by improving what is being detected and
measured. A consequence of this are more accurate alerts to farmers.
Another is an increased ability to understand why phenomena occur in
farm systems, so as to improve their management. From improved data and
understanding come improved predictions, enabling more optimal decisions
about how to manage farm systems and stimulating the development of
decision support and recommender systems. In many cases, robotics and
automated systems will remove much of the need for human decision-making
and improve farm efficiencies and farm health. Artificial intelligence
will also be needed to enable organisations to harness the value of
information distributed throughout supply chains, including farm data.
Digital twins will also emerge as an important paradigm to improve how
information about farm entities is organised to support decision-making.
There are also likely to be negative impacts from AI, such as disruption
to the roles and skills needed from farm workers, indicating the need to
consider the social and ethical impacts of AI each time a new capability
is introduced. I conclude that understanding these challenges more
deeply tends to highlight new opportunities for positive change."
"A DNN-Based Cross-Domain Recommender System for Alleviating Cold-Start
Problem in E-Commerce";"Many applications use recommender systems to predict user preferences,
improve user experience, and increase the amount of sales. However,
because of the cold-start problem, it is not easy to recommend items to
new users accurately. Recommendation performance degrades in the case of
users with little interaction, in particular latent users who have never
used the service. To alleviate the cold-start problem, we develop a
framework that combines an online shopping domain with information from
an Ads platform. Our framework employs deep learning to build a
cross-domain recommender system based on shared users in these two
domains. This is the first attempt that models users based on shared
users in online shopping and Ads domains for solving the user-cold start
problem. We apply Word2Vec to turn textual information on users and
items into latent vectors as their representations. The experimental
results show the effectiveness of deep neural approaches with knowledge
transferred from another domain for the cold-start problem. Textual
information may contain useless information, and Word2Vec cannot capture
some structural and semantic correlations between different users.
Therefore, we propose R-metapath2Vec to enhance user modeling and use
the Stacking model to integrate these two kinds of user representations.
The experimental results demonstrate the effectiveness of our
integration model: our framework can recommend products to users of
another domain through Ads distribution in a more accurate level."
Neural Session-Aware Recommendation;"Recommender systems help users find items they are likely to interact
within the near future, such as products to buy in e-commerce or songs
to play in music websites. The Traditional recommendation methods make
predictions based on long-term user profiles, i.e., the items a user
interacted with in the past while ignoring the time and order of the
interactions. Recent findings, however, suggest that users may exhibit
interest to items in a certain order depending on situations and more
recent items in a sequence have a larger impact on the subsequent
choices. Moreover, in many practical applications, user-item
interactions are organized into short sessions, where each session
reflects the user's short-term interest in addition to long-term
preferences. Leveraging both long-term user profiles and short-term
sequential patterns from sessions can lead to more accurate models known
as the session-aware recommendation methods. In this paper, we explore
various strategies to integrate user long-term preferences with session
patterns encoded by recurrent neural networks (RNNs). The strategies
include integrating user embeddings with input and output of session
RNNs, integrating with fixed or adaptive contributions of the user and
session components by using a specially designed gating mechanism. We
conducted an empirical evaluation of three publicly available datasets.
The results indicate that combining user long-term profiles with the
output of session RNNs yields improved predictions and the proposed
adaptive integration model outperforms the state-ofthe-art sequential
and session-aware recommendation methods."
